,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,mean_parse_tree_depth,mean_ents_per_sentence,mean_adj,mean_adp,mean_adv,mean_aux,mean_conj,mean_cconj,mean_det,mean_intj,mean_noun,mean_num,mean_part,mean_pron,mean_propn,mean_punct,mean_sconj,mean_sym,mean_verb,mean_x,mean_space,label,label_num
908,73.27,9.7,6.7,8.11,7.4,7.56,43.0,10.166666666666666,8.04,8.0,1.2763532763532763,1.5,1.64,2.14,0.45,0.73,0.0,0.5,1.41,0.0,3.14,0.55,0.23,1.45,1.23,0.09,0.09,0.0,1.36,0.0,0.95,B1,2
909,69.01,10.8,8.4,10.1,10.6,8.27,48.0,10.166666666666666,10.71,11.0,1.4768211920529801,1.8,1.67,2.27,0.8,1.2,0.0,0.33,2.47,0.0,4.07,0.33,0.53,1.47,1.47,0.0,0.6,0.0,2.0,0.0,0.93,B1,2
910,72.76,10.5,6.9,8.4,8.0,6.62,27.0,7.857142857142858,8.9,7.0,1.2140575079872205,0.10526315789473684,1.0,1.21,0.84,1.11,0.0,0.32,2.63,0.0,3.95,0.11,0.63,1.16,0.0,0.0,0.26,0.0,2.05,0.0,1.0,B1,2
911,97.09,6.7,1.7,3.38,1.7,5.24,2.0,3.583333333333333,3.62,4.0,1.1538461538461537,0.07692307692307693,0.0,1.46,0.23,0.0,0.0,0.0,1.92,0.0,2.46,0.0,0.0,0.92,0.08,0.0,0.0,0.0,1.0,0.0,0.92,B1,2
912,79.4,9.3,6.5,7.31,7.7,6.38,26.0,7.2857142857142865,8.25,7.0,1.229032258064516,0.11764705882352941,0.53,1.65,0.41,1.65,0.0,0.53,2.29,0.0,3.24,0.0,1.0,2.29,0.0,0.0,0.76,0.0,2.94,0.0,0.94,B1,2
913,75.2,8.4,6.0,8.74,7.5,6.7,37.0,5.875,6.81,7.0,1.1688741721854305,0.7142857142857143,1.05,1.24,0.81,1.1,0.0,0.24,0.95,0.0,2.76,0.05,0.95,1.29,0.62,0.0,0.43,0.0,1.95,0.0,0.95,B1,2
914,71.34,10.4,7.5,7.77,7.9,7.97,51.0,7.7142857142857135,8.97,8.0,1.575221238938053,1.4736842105263157,1.47,2.84,0.79,0.68,0.0,0.37,1.63,0.0,3.16,0.32,0.42,1.58,1.42,0.0,0.32,0.0,1.89,0.0,0.95,B1,2
915,77.94,7.9,4.9,7.98,5.9,7.06,39.0,6.375,6.0,8.0,1.0489296636085628,0.13793103448275862,0.45,0.93,0.55,0.76,0.0,0.14,1.17,0.0,2.93,0.1,0.31,0.72,0.1,0.0,0.21,0.0,1.93,0.0,0.97,B1,2
916,71.75,10.6,7.3,8.87,8.8,7.16,157.0,17.0,8.64,9.0,1.3186206896551724,1.5925925925925926,0.63,1.7,0.58,0.94,0.0,0.37,1.36,0.04,3.07,0.23,0.77,1.74,2.05,0.11,0.48,0.0,2.78,0.0,1.0,B1,2
917,65.01,11.5,7.8,9.91,8.8,7.02,41.0,6.111111111111111,8.73,9.0,1.0694864048338368,1.2380952380952381,1.19,1.52,0.81,0.95,0.0,0.43,1.19,0.0,2.81,0.19,0.62,1.24,1.14,0.0,0.52,0.0,2.19,0.0,0.95,B1,2
